no,sort,industry,감축 대상 설비,개선 구분,act,투자비 회수기간,투자비 회수기간 단위,money,절감액 단위,투자비,투자비 단위,진단 연도,에너지 사용량 규모,에너지 절감 종류,에너지 절감량(연료),연료 단위,에너지 절감량(전력),전력 단위,deco2,감축량 단위
31300,제조업,manufacture,열사용설비(기타),운전관리,FEMS도입,1.32,yr,38000,백만원/yr,50000,백만원,2018,20만 toe이상,기타,96556.7,toe/yr,11087.3,toe/yr,154652.8,tCO₂/yr
44240,제조업,manufacture,로,신설비도입,NCC공정 고방사코팅제도입,0.56,yr,14289,백만원/yr,8000,백만원,2018,20만 toe이상,기타,25745.6,toe/yr,0,toe/yr,39622.5,tCO₂/yr
11655,제조업,manufacture,수.발.배전 설비,기존설비통폐합,NCC를 통한 BPA 전력 수전,2.87,yr,1045,백만원/yr,3000,백만원,2020,20만 toe이상,전기(소비기준),0,toe/yr,36472.4,toe/yr,19908.52,tCO₂/yr
30863,제조업,manufacture,열사용설비(기타),보온강화,예열대 보온도료 적용,1.35,yr,1385,백만원/yr,1870,백만원,2016,20만 toe이상,(2011)연료용 유연탄(역청탄),9408,toe/yr,0,toe/yr,9526.38,tCO₂/yr
41441,제조업,manufacture,기타전기설비,전기기타,펌프교체 및 운전대수 조정,0.72,yr,1100,백만원/yr,790,백만원,2017,20만 toe이상,(2011)전기기타,0,toe/yr,2755,toe/yr,5636,tCO₂/yr
17357,제조업,manufacture,열사용설비(반응기류),유류-전기,폐수를 증발 농축하여 열원으로 활용,2.37,yr,1300,백만원/yr,3080,백만원,2010,10만teo ~ 20만toe,유류기타,6148,toe/yr,-284,toe/yr,5227,tCO₂/yr
1919,제조업,manufacture,수.발.배전 설비,가스터어빈,가스터빈 열병합 발전 도입,4.48,yr,1632.87,백만원/yr,7319.6,백만원,2020,2만teo ~ 5만toe,전기(발전기준),2660.88,toe/yr,6231.62,toe/yr,5043.26,tCO₂/yr
40191,제조업,manufacture,보일러,연료대체,보일러 연료전환(LNG→목재펠릿),0.8,yr,1998,백만원/yr,1600,백만원,2012,2만teo ~ 5만toe,가스기타,0.01,toe/yr,0,toe/yr,4401.5,tCO₂/yr
37782,제조업,manufacture,공기 압축기 설비,적정유량관리,LP 압축기 원단위 개선,0.93,yr,3428,백만원/yr,3200,백만원,2020,20만 toe이상,전기(소비기준),0,toe/yr,7930,toe/yr,4328.6,tCO₂/yr
34004,제조업,manufacture,열사용설비(기타),열회수-폐수,냉동기 냉각수 및 RO 농축수 폐열 회수,1.15,yr,174,백만원/yr,200,백만원,2014,2만teo ~ 5만toe,증기,182.5,toe/yr,143.8,toe/yr,4084.11,tCO₂/yr
47707,건설업,building,요,보온강화,고효율 방사체 시공으로 연료절감,0.35,yr,1233,백만원/yr,430.18,백만원,2021,20만 toe이상,연료용 유연탄(역청탄),6635.77,toe/yr,0,toe/yr,6889.95,tCO₂/yr
15159,건설업,building,열사용설비(반응기류),전기-연료,MVR적용,2.57,yr,2682,백만원/yr,6880,백만원,2007,20만 toe이상,벙커 C유,9576,toe/yr,-6140.4,toe/yr,5077.46,tCO₂/yr
51189,건설업,building,보일러,연료대체,보일러열원변경(BC유->LNG),0.12,yr,3473,백만원/yr,400,백만원,2008,2만teo ~ 5만toe,기타,0,toe/yr,0,toe/yr,4046,tCO₂/yr
49077,건설업,building,열사용설비(건조기류),열회수-배증기,열교환기를 설치하여 폐열회수,0.27,yr,641.4,백만원/yr,171,백만원,2008,10만teo ~ 20만toe,증기,1016.8,toe/yr,45.4,toe/yr,3886,tCO₂/yr
48147,건설업,building,열사용설비(건조기류),운전방법개선,수분량 조정하여 급배기량 개선,0.33,yr,600,백만원/yr,200,백만원,2008,10만teo ~ 20만toe,증기,862.2,toe/yr,0,toe/yr,3295,tCO₂/yr
37517,건설업,building,로,신설비도입,관수 열회수 시스템 적용,0.95,yr,29.5,백만원/yr,28,백만원,2012,1만teo ~ 2만toe,증기,53.9,toe/yr,0,toe/yr,3133.9,tCO₂/yr
26776,건설업,building,열사용 설비,차압발전도입,증기감압을 이용해서 전력 생산,1.63,yr,1574.3,백만원/yr,2560,백만원,2014,10만teo ~ 20만toe,(2011)전기(소비기준),0,toe/yr,5030.1,toe/yr,2805.92,tCO₂/yr
39094,건설업,building,열사용설비(건조기류),배공기열회수,슬러지 건조기 배기열 회수,0.86,yr,175,백만원/yr,150,백만원,2014,2만teo ~ 5만toe,(2011)증기,949,toe/yr,0,toe/yr,2796.8,tCO₂/yr
5617,건설업,building,열사용설비(기타),열회수-폐수,판형 열교환기 설치,3.69,yr,217,백만원/yr,800,백만원,2008,10만teo ~ 20만toe,온수,2765,toe/yr,0,toe/yr,2419,tCO₂/yr
21253,건설업,building,조명 설비,조명개선,LED 교체,2.04,yr,1060.1,백만원/yr,2162.22,백만원,2014,2만teo ~ 5만toe,(2011)전기(소비기준),0,toe/yr,2315.6,toe/yr,1291.7,tCO₂/yr
10421,도매 및 소매업,retail,보일러,유류-유류,LNG로 연료전환,2.98,yr,235,백만원/yr,700,백만원,2007,2만teo ~ 5만toe,기타,3462,toe/yr,0,toe/yr,7078,tCO₂/yr
54069,도매 및 소매업,retail,보일러,연료대체,외부로부터 스팀 구매,0,yr,1125,백만원/yr,0,백만원,2015,2만teo ~ 5만toe,(2011)도시가스(LNG),6413.83,toe/yr,0,toe/yr,4085.61,tCO₂/yr
52051,도매 및 소매업,retail,열사용설비(반응기류),신설비도입,스팀 지거설치,0.04,yr,1307,백만원/yr,50,백만원,2007,2만teo ~ 5만toe,증기,2988,toe/yr,0,toe/yr,2615,tCO₂/yr
